Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
179-3-20959,Madrigal,"Lady, When I Behold The Roses",Wilbye,,"National Music Publishers, Inc.",3,(SATB)
179-1-27398,Madrigal,All Creatures Now Are Merry Minded,Bennet,King's Singers,"Hal Leonard Music, Inc. [king'singers English Renaissance, Volume 1];Oxford University Press [Madrigals and Partsongs]",1,(five-part mixed)
179-1-27400,Madrigal,Sing Joyfully,Byrd,King's Singers,"Hal Leonard Music, Inc. [king'singers English Renaissance, Volume 1]",1,(SSATTB)
179-1-27401,Madrigal,Bon jour; et puis quelles nouvelles?,de Lassus,Bartlett,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 2]",1,(SATTB)
179-1-27402,Madrigal,Chi chilichi,de Lassus,King's Singers/Bartlett,"Hal Leonard Music, Inc. [The King's Singers European Renaissance];Oxford University Press [Madrigals and Partsongs]",1,(SSATBB or SSATTB)
179-1-27403,Madrigal,"Valle, che de' lamenti miei se' piena",de Wert,Bartlett,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 2]",1,(SATTB)
179-1-27404,Madrigal,Vezzosi Augelli (Pretty Birds),de Wert,,"National Music Publishers, Inc.",1,(SSATB)
179-1-27408,Madrigal,Triste Depart,Gombert,Bartlett,"Hal Leonard Music, Inc. [The King's Singers European Renaissance];Faber Music, Ltd. [The King's Singers' Madrigals, Volume 2]",1,(SATTB or SSATB)
179-1-27412,Madrigal,Au joli jeu,Janequin,Bartlett,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 1];Hal Leonard Music, Inc. [The King's Singers European Renaissance]",1,(SATB)
179-1-27415,Madrigal,Un gentil amoureux,Le Jeune,Bartlett,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 1]",1,(SATB)
179-1-27416,Madrigal,Cantava la piu vaga pastorella (Sweet Singing Amarillis),Marenzio,Richter,Tetra Music Corporation,1,(SSATB)
179-1-27418,Madrigal,Zefiro torna e'l bel tempo rimena,Monteverdi,,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 2]",1,(SSATB)
179-1-27422,Madrigal,My Bonny Lass She Smileth,Morley,Bartlett,Oxford University Press,1,(SATB)
179-1-27425,Madrigal,"Sing We, Dance We on the Green",Pilkington,Bausano,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 5 (Singing and Dancing)]",1,(SSATB)
