Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
931-3-21180,Mixed Chorus,"Adieu, Sweet Amaryllis",Wilbye,,"J&W Chester, Ltd. [Chester Book of Madrigals, Book 03]",3,(SATB) (a cappella)
931-3-21181,Mixed Chorus,Ach Gretlein,Zirlse,,"J&W Chester, Ltd. [Chester Book of Madrigals, Book 03]",3,(SATB) (German) (a cappella)
931-3-21182,Mixed Chorus,Hosanna! Blessed Is He Who Comes,Dedekind,Thomas,"Concordia Publishing House [SAB Choir Goes for Baroque, The]",3,(SAB) (instruments) (accomp)
931-3-21183,Mixed Chorus,Three Songs from Edgar Allan Poe,Adams,,CMS Publishers [Three Songs from Edgar Allan Poe],3,(SATB) (sing Evening Star) (a cappella)
931-3-21184,Mixed Chorus,Ave Maris Stella,Anerio,,"Bourne, Co.",3,(SATB) (Latin) (a cappella)
931-3-21187,Mixed Chorus,Six Folk Songs,Brahms,,Marks Music Corporation [Six Folk Songs];Any unabridged edition,3,"(SATB) (sing A House Stands 'Neath the Willow's Shade OR Awake, Awake! OR At Night) (German) (a cappella)"
931-3-21188,Mixed Chorus,Von Edler Art,Brahms,Klein,"G. Schirmer, Inc.",3,(SATB) (German) (a cappella)
931-3-21189,Mixed Chorus,Never Tell Thy Love,Bright,,Associated Music Publishers Inc.,3,(SSATB) (a cappella)
931-3-21190,Mixed Chorus,"A Red, Red Rose",Burton,,Neil A. Kjos Music Company,3,(SAB) (a cappella)
931-3-21191,Mixed Chorus,The Lord Is My Shepherd,Cain,,"Harold Flammer, Inc.",3,(SATB) (divisi) (a cappella)
931-3-21193,Mixed Chorus,Je ne fus jamais se aise,Certon,Meredith,Neil A. Kjos Music Company,3,(SAB) (French) (a cappella)
931-3-21195,Mixed Chorus,De lustelijcke mey (The Lusty Month of May),Clemens,,Tetra Music Corporation,3,(SATB) (English or German) (a cappella)
931-3-21196,Mixed Chorus,Alabado sea el santisimo,Comes,Kaplan,Tetra Music Corporation [Three Spanish Choral Anthems],3,(SATB) (Spanish) (a cappella)
931-3-21197,Mixed Chorus,Exaudi Deus,Croce,Liebergen,"Carl Fischer, Inc.",3,(SATB) (Latin) (a cappella)
931-3-21198,Mixed Chorus,Three Spanish Carols,Anon. or Trad.,Crocker,"Jenson Publications, Inc. [Three Spanish Carols]",3,(SATB) (Spanish) (sing one carol) (a cappella)
931-3-21199,Mixed Chorus,Praising Song,Curtis,,Mark Foster Music Company,3,(SATB) (divisi) (a cappella)
931-3-21200,Mixed Chorus,Set Me As a Seal,Daley,,Alliance Music Publications,3,(SATB) (a cappella)
931-3-21201,Mixed Chorus,O occhi manza mia,di Lasso,Klein,"G. Schirmer, Inc.",3,(SATB) (Italian) (a cappella)
931-3-21202,Mixed Chorus,Three Chansons,di Lasso,Guentner,Broude Brothers,3,(SATB) (sing one chanson) (English or French) (a cappella)
931-3-21203,Mixed Chorus,"Tutto lo di mi dici, ""Canta""",di Lasso,Klein,"G. Schirmer, Inc.",3,(SATB) (Italian) (a cappella)
931-3-21204,Mixed Chorus,Maria Walks Amid the Thorn,Anon. or Trad.,Distler,Concordia Publishing House,3,(SAB) (a cappella)
931-3-21205,Mixed Chorus,Chi la Gagliarda,Donato,Klein,"J&W Chester, Ltd. [Chester Book of Madrigals, Book 05];G. Schirmer, Inc.",3,(SATB) (Italian) (sing one verse) (opt accomp) (a cappella)
931-3-21207,Mixed Chorus,Share ... Dream,Duson,,Neil A. Kjos Music Company,3,(SATB) (divisi) (a cappella)
931-3-21208,Mixed Chorus,Follow Me Sweet Love,East,Stoufer,"National Music Publishers, Inc.",3,(SAB) (no instruments) (a cappella)
931-3-21209,Mixed Chorus,Loveliest of Trees,Forsblad,,Shawnee Press,3,(SATB) (a cappella)
931-3-21210,Mixed Chorus,Geboren Ist Uns Der Heilige Christ,Freundt,Anderson,Alliance Music Publications,3,(SATB) (German) (a cappella)
931-3-21211,Mixed Chorus,Kyrie,Gabrieli,Walker,Alliance Music Publications,3,(SATB) (Latin) (a cappella)
931-3-21212,Mixed Chorus,This Is the Day (Haec est dies),Gallus,Thomas,Concordia Publishing House,3,(double chorus - SATB/SATB) (English or Latin) (opt brass) (a cappella)
931-3-21213,Mixed Chorus,Adoramus te,Gasparini,Walker,Alliance Music Publications,3,(SATB) (Latin) (a cappella)
931-3-21214,Mixed Chorus,"Dadme albricias, hijos d'Eva",Anon. or Trad.,Greenberg,Associated Music Publishers Inc.,3,(SATB) (English or Spanish) (opt solo) (a cappella)
931-3-21216,Mixed Chorus,Canticorum Jubilo,Handel,Stone,HLH Music Publications,3,(SATB) (Latin) (opt accomp) (a cappella)
931-3-21218,Mixed Chorus,Agnus Dei,Hassler,Greyson,"Bourne, Co.",3,(SATB or SAB) (Latin) (a cappella)
931-3-21219,Mixed Chorus,Cantate Domino,Hassler,Hooper,"J&W Chester, Ltd. [Chester Book of Motets, Book 04];Concordia Publishing House",3,(SATB) (Latin) (opt accomp) (a cappella)
931-3-21221,Mixed Chorus,Ich brinn und bin entzundt gen dir,Hassler,Anderson,Neil A. Kjos Music Company,3,(SATB) (German) (a cappella)
931-3-21222,Mixed Chorus,"Kyrie Eleison from ""Missa Secunda""",Hassler,Harris/Liebergen,"Shawnee Press;Carl Fischer, Inc.",3,(SATB) (Latin) (a cappella)
