Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
933-2-35243,Tenor-Bass Chorus,Beyond,Courtney,,"Alfred Music Company, Inc.",2,(TTB) (opt solo) (accomp)
933-2-35244,Tenor-Bass Chorus,Wherever Fortune Calls Me,Traditional,Wagner,Heritage Music Press,2,(TB) (opt divisi) (accomp)
933-2-35245,Tenor-Bass Chorus,Green Grow the Rashes,Winebrenner,,BriLee Music,2,(TB) (opt divisi) (opt oboe) (accomp)
933-2-35246,Tenor-Bass Chorus,Tu Es Petrus,Davison,,BriLee Music,2,(TTB) (accomp)
933-2-35247,Tenor-Bass Chorus,Didn’t My Lord Deliver Daniel?,Traditional Spiritual,Gilpin,Shawnee Press,2,(TB) (descant) (accomp)
933-2-35248,Tenor-Bass Chorus,Battle Above the Clouds,Courtney,,BriLee Music,2,(TB) (opt violin) (accomp)
933-3-35249,Tenor-Bass Chorus,Rise Up Shepherd and Follow,Traditional Spiritual,Gilpin,BriLee Music,3,(TTB) (accomp)
933-3-35250,Tenor-Bass Chorus,Jonah!,Dilworth,,"Hal Leonard Music, Inc.",3,(TTB) (accomp)
933-3-35251,Tenor-Bass Chorus,O Sing to the Lord,Davison,,Walton Music Corporation,3,(TB) (opt divisi) (accomp)
933-3-35252,Tenor-Bass Chorus,Benedicamus Domino,Drennan,,Excelcia,3,(TTB) (accomp)
933-3-35253,Tenor-Bass Chorus,Silent Snowfall,Farnell,,BriLee Music,3,(TB) (opt divisi) (accomp)
933-3-35254,Tenor-Bass Chorus,My Love Is Perfection to Me,Courtney,,BriLee Music,3,(TTB) (accomp)
933-3-35255,Tenor-Bass Chorus,The Irish Girl,O'Neil,,Alliance Music Publications,3,(TTB) (opt solo) (accomp)
933-3-35256,Tenor-Bass Chorus,Dies Irae,Gray,,"Alfred Music Company, Inc.",3,(TTB) (accomp)
933-3-35257,Tenor-Bass Chorus,There Is Sweet Music Here,Gilpin,,"Carl Fischer, Inc.",3,(TBB) (accomp)
933-3-35258,Tenor-Bass Chorus,Love Will Find Out the Way,McCartha,,Heritage Music Press,3,(TTB) (accomp)
933-3-35259,Tenor-Bass Chorus,"La pastorella al prato, D.513",Schubert,Thrift,"Carl Fischer, Inc.",3,(TB) (accomp)
933-3-35260,Tenor-Bass Chorus,Two Brothers,Gordon,Crocker,"Hal Leonard Music, Inc.",3,(TTB) (opt violin & snare drum) (accomp)
933-3-35261,Tenor-Bass Chorus,Benedicamus Domino,Juneau,,"Hal Leonard Music, Inc.",3,(TB) (divisi) (accomp)
933-3-35262,Tenor-Bass Chorus,Galway Bay,Traditional Irish Folk Song,Crocker,"Hal Leonard Music, Inc.",3,(TBB) (opt flute) (accomp)
933-3-35263,Tenor-Bass Chorus,The Vagabond,Vaughan Williams,Lewis,Excelcia,3,(TBB) (accomp)
933-4-35264,Tenor-Bass Chorus,Verbum Caro,de Victoria,Mueller,"Carl Fischer, Inc.",4,(TBB) (a cappella)
933-4-35265,Tenor-Bass Chorus,These Things Shall Never Die,Burrows,,Heritage Music Press,4,(TTBB) (accomp)
933-4-35266,Tenor-Bass Chorus,She Walks in Beauty,Campolleta,,"Hal Leonard Music, Inc.",4,(TTBB) (accomp)
933-4-35267,Tenor-Bass Chorus,Flying Solo,Silvey,,"Carl Fischer, Inc.",4,(TBB) (accomp)
933-4-35268,Tenor-Bass Chorus,Abide With Me (Pater Noster),Wright,,"Carl Fischer, Inc.",4,(TTBB) (opt cello) (accomp)
933-4-35269,Tenor-Bass Chorus,Hosanna,Wright,,"Carl Fischer, Inc.",4,(TTBB) (accomp)
933-4-35270,Tenor-Bass Chorus,Dirait-On (from Les Chansons des Roses),Lauridsen,,Peermusic Classical,4,(TTBB) (accomp)
933-4-35271,Tenor-Bass Chorus,Flight Song,Arnesen,,earthsongs,4,(TTBB) (accomp)
933-4-35272,Tenor-Bass Chorus,Vaghissima Sembianza,Donaudy,Baker,"Hal Leonard Music, Inc.",4,(TTB) (accomp)
933-5-35273,Tenor-Bass Chorus,When I Can Read My Title Clear,Lowry,Sharp,Gentry Publications,5,(TTBB) (a cappella)
933-5-35274,Tenor-Bass Chorus,The Sweet By and By,Webster,Humble,"Carl Fischer, Inc.",5,(TTBB) (a cappella)
933-5-35275,Tenor-Bass Chorus,"Veni, Veni Emmanuel",Trotta,,"Carl Fischer, Inc.",5,(TTBB) (opt solo) (opt percussion) (a cappella)
933-5-35277,Tenor-Bass Chorus,Let the Music Fill Your Soul,Narverud,,"Hal Leonard Music, Inc.",5,(TTBB) (horn required) (accomp)
933-5-35278,Tenor-Bass Chorus,Praise Him,Cox,,Hinshaw Music Inc.,5,(TTBB) (accomp)
933-6-35279,Tenor-Bass Chorus,Vanitati Enim Creatura,Burchard,,"National Music Publishers, Inc.",6,(TTTBB) (a cappella)
933-2-36775,Tenor-Bass Chorus,Follow the Drinking Gourd,Traditional Spiritual,Hill,BriLee Music,2,(TTB) (opt solo) (accomp)
933-2-36776,Tenor-Bass Chorus,Bella Ciao,Jones,,BriLee Music,2,(TB) (opt divisi) (opt a cappella) (accomp)
933-2-36777,Tenor-Bass Chorus,Obwisana,Ghanian Folksong,Johnson,BriLee Music,2,(TB) (divisi) (percussion REQUIRED) (a cappella)
933-2-36778,Tenor-Bass Chorus,Follow the Drinking Gourd,Traditional Spiritual,Johnson,"Alfred Music Company, Inc.",2,(TTB) (accomp)
933-3-36779,Tenor-Bass Chorus,Sanctus! Sanctus!,Wolff or Gabel,,BriLee Music,3,(TBB) (accomp)
933-3-36780,Tenor-Bass Chorus,Artza Alinu,Israeli Dance Song,Rentz,"Carl Fischer, Inc.",3,(TBB) (accomp)
933-3-36781,Tenor-Bass Chorus,Travelin’ Home,Sacred Harp Tunes,Ramsey,"Carl Fischer, Inc.",3,(TTB) (descant) (opt solo) (opt violin) (accomp)
933-3-36782,Tenor-Bass Chorus,Jambo Bwana,Harrison,Robinson,"Carl Fischer, Inc.",3,(TBB) (divisi) (opt solo) (conga or djembe REQUIRED) (accomp)
933-3-36783,Tenor-Bass Chorus,Viva! from Il re pastore,Mozart,Liebergen,"Alfred Music Company, Inc.",3,(TTB) (Italian) (accomp)
933-4-36784,Tenor-Bass Chorus,O Sole Mio,di Capua,Narverud,Santa Barbara Music Publishing,4,(TBB) (opt. solo) (accomp)
933-4-36785,Tenor-Bass Chorus,"Weep, O Mine Eyes",Bennet,Robinson,"Carl Fischer, Inc.",4,(TBB) (a cappella)
933-4-36786,Tenor-Bass Chorus,Verbum Caro Factum Est,Araujo,,Excelcia,4,(TTBB) (a cappella)
933-5-36787,Tenor-Bass Chorus,O Love,Hagenberg,,Beckenhorst Press,5,(TTBB) (opt. cello) (accomp)
933-5-36788,Tenor-Bass Chorus,Cry Out and Shout,Nystedt,Sarsany,"Alfred Music Company, Inc.",5,(TTBB) (a cappella)
933-1-37758,Tenor-Bass Chorus,A Dragon Song,Courtney,,BriLee Music,1,(unison) (opt two-part) (accomp)
933-1-37878,Tenor-Bass Chorus,Cantate!,Crocker,,"Hal Leonard Music, Inc.",1,(TB) (opt divisi) (opt descant) (accomp)
933-1-37879,Tenor-Bass Chorus,Come Sail away with Me,Patterson,,BriLee Music [First Songs for the Emerging Tenor-Bass Choir],1,(unison) (opt two-part) (accomp)
933-1-37881,Tenor-Bass Chorus,Over My Head,Traditional Spiritual,Crocker,"Hal Leonard Music, Inc. [Music in the Air]",1,(TB) (opt soli) (accomp)
933-1-37882,Tenor-Bass Chorus,Sing Me a Song of a Lad That Is Gone,Johnson,,Heritage Music Press,1,(TB) (opt divisi) (accomp)
933-1-37883,Tenor-Bass Chorus,Turn the Glasses Over,Traditional Folk Song,Crocker,"Hal Leonard Music, Inc. [Music in the Air]",1,(TB) (opt soli) (accomp)
933-2-37884,Tenor-Bass Chorus,All That Her Heart Desires,Farnell,,BriLee Music,2,(TB or TTB) (opt solo) (accomp)
